,Unnamed: 0,text,author_id,created_at,id,clean_text,tokenised_text,sentiment,final_sentiment,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
20,0,She holds a doctorate in Information Systems from Brunel University. Her thesis focused on effective diffusion of innovation technologies among individuals and Small and Medium Size Enterprises (SMEs),1853743388,2021-04-22T15:22:43.000Z,1385252734329360384,She holds a doctorate in Information Systems from Brunel University. Her thesis focused on effective diffusion of innovation technologies among individuals and Small and Medium Size Enterprises (SMEs),"['she', 'holds', 'a', 'doctorate', 'in', 'information', 'systems', 'from', 'brunel', 'university', 'her', 'thesis', 'focused', 'on', 'effective', 'diffusion', 'of', 'innovation', 'technologies', 'among', 'individuals', 'and', 'small', 'and', 'medium', 'size', 'enterprises', 'smes']","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.8074}",0.8074,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,
21,1,"Continuing our Brutalist architecture theme, The Brunel University Lecture Hall, designed by Richard Sheppard Robson &amp; Partners, and completed in 1971. The building was used as one of the locations in the film, A Clockwork Orange. 

Available from our Etsy shop or via our website https://t.co/CEe79IYEcZ",1300344141721866240,2021-04-22T15:20:10.000Z,1385252094387490821,"Continuing our Brutalist architecture theme, The Brunel University Lecture Hall, designed by Richard Sheppard Robson &amp; Partners, and completed in . The building was used as one of the locations in the film, A Clockwork Orange. Available from our Etsy shop or via our website","['continuing', 'our', 'brutalist', 'architecture', 'theme', 'the', 'brunel', 'university', 'lecture', 'hall', 'designed', 'by', 'richard', 'sheppard', 'robson', 'amp', 'partners', 'and', 'completed', 'in', 'the', 'building', 'was', 'used', 'as', 'one', 'of', 'the', 'locations', 'in', 'the', 'film', 'a', 'clockwork', 'orange', 'available', 'from', 'our', 'etsy', 'shop', 'or', 'via', 'our', 'website']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,
22,0,"Can I add Brunel University in Uxbridge
 #pointless",846060125672607744,2021-04-22T16:21:10.000Z,1385267443677941761,Can I add Brunel University in Uxbridge,"['can', 'i', 'add', 'brunel', 'university', 'in', 'uxbridge']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,0,"@softorzabal amazing! i'll check it out, if there's any inclusion of The Way You Are, this is definitely an 83 performance. my only question about it is that the only date listed for the Brunel University perf. is oct 82, but its entirely possible that the tour list could've missed it out",1371932950355382272,2021-04-22T18:53:52.000Z,1385305874751705094,"amazing! i'll check it out, if there's any inclusion of The Way You Are, this is definitely an performance. my only question about it is that the only date listed for the Brunel University perf. is oct , but its entirely possible that the tour list could've missed it out","['amazing', 'ill', 'check', 'it', 'out', 'if', 'theres', 'any', 'inclusion', 'of', 'the', 'way', 'you', 'are', 'this', 'is', 'definitely', 'an', 'performance', 'my', 'only', 'question', 'about', 'it', 'is', 'that', 'the', 'only', 'date', 'listed', 'for', 'the', 'brunel', 'university', 'perf', 'is', 'oct', 'but', 'its', 'entirely', 'possible', 'that', 'the', 'tour', 'list', 'couldve', 'missed', 'it', 'out']","{'neg': 0.05, 'neu': 0.87, 'pos': 0.081, 'compound': 0.1882}",0.1882,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,
24,1,"so the Pop Carnival performance was broadcast on 24/08/1983, however Pop Carnival was a program that broadcasted previously recorded concerts. Source(s) say that it was from their ""Brunel University, Bristol"" concert, but that was on 17/10/1982.",1371932950355382272,2021-04-22T18:41:33.000Z,1385302774351548421,"so the Pop Carnival performance was broadcast on /08/1983, however Pop Carnival was a program that broadcasted previously recorded concerts. Source(s) say that it was from their ""Brunel University, Bristol"" concert, but that was on /10/1982.","['so', 'the', 'pop', 'carnival', 'performance', 'was', 'broadcast', 'on', '081983', 'however', 'pop', 'carnival', 'was', 'a', 'program', 'that', 'broadcasted', 'previously', 'recorded', 'concerts', 'sources', 'say', 'that', 'it', 'was', 'from', 'their', 'brunel', 'university', 'bristol', 'concert', 'but', 'that', 'was', 'on', '101982']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,0,Engineers hope to print Lego-style bricks from building waste: Researchers at Brunel University have started a project to develop interlocking bricks that are made from waste construction materials. https://t.co/XJ13ZxqZXE,602748337,2021-04-23T06:38:00.000Z,1385483074662801412,Engineers hope to print Lego-style bricks from building waste: Researchers at Brunel University have started a project to develop interlocking bricks that are made from waste construction materials.,"['engineers', 'hope', 'to', 'print', 'legostyle', 'bricks', 'from', 'building', 'waste', 'researchers', 'at', 'brunel', 'university', 'have', 'started', 'a', 'project', 'to', 'develop', 'interlocking', 'bricks', 'that', 'are', 'made', 'from', 'waste', 'construction', 'materials']","{'neg': 0.167, 'neu': 0.746, 'pos': 0.087, 'compound': -0.4019}",-0.4019,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666
26,0,JOB: Research Assistant/Research Fellow at Brunel University London https://t.co/ZDhfWfTLTL,797005292684935169,2021-04-23T07:59:11.000Z,1385503503246888961,JOB: Research Assistant/Research Fellow at Brunel University London,"['job', 'research', 'assistantresearch', 'fellow', 'at', 'brunel', 'university', 'london']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,0,"Are you helping someone get ready for university? Our information evening is an excellent opportunity for you to find out information about our university, student life, courses and finance options available: https://t.co/NaAygrXoxR. 

#DiscoverBrunel https://t.co/hxoGhIeF7n",46377850,2021-04-23T08:12:01.000Z,1385506736002453506,"Are you helping someone get ready for university? Our information evening is an excellent opportunity for you to find out information about our university, student life, courses and finance options available: .","['are', 'you', 'helping', 'someone', 'get', 'ready', 'for', 'university', 'our', 'information', 'evening', 'is', 'an', 'excellent', 'opportunity', 'for', 'you', 'to', 'find', 'out', 'information', 'about', 'our', 'university', 'student', 'life', 'courses', 'and', 'finance', 'options', 'available']","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.8807}",0.8807,0.0,0.0,0.0,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333
28,0,"Brunel University and the Royal Academy of Engineering present a short course in Asset Management taught by Professor Alexandra Knight.

Watch the full course here: https://t.co/iRSCdNwGOb

Find out more about studying Mechanical Engineering at Brunel: https://t.co/jXPEvZf3Fh https://t.co/IqY6dAOxXX",46377850,2021-04-23T11:13:21.000Z,1385552369165950976,Brunel University and the Royal Academy of Engineering present a short course in Asset Management taught by Professor Alexandra Knight.Watch the full course here: out more about studying Mechanical Engineering at Brunel:,"['brunel', 'university', 'and', 'the', 'royal', 'academy', 'of', 'engineering', 'present', 'a', 'short', 'course', 'in', 'asset', 'management', 'taught', 'by', 'professor', 'alexandra', 'knightwatch', 'the', 'full', 'course', 'here', 'out', 'more', 'about', 'studying', 'mechanical', 'engineering', 'at', 'brunel']","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3612}",0.3612,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
29,1,BREAKING Brunel University adopts International Definition of Antisemitism @SUPERCOVFEFE72 LONDON THIS IS GREAT! HERE I COME!  https://t.co/pi6XSTJWBB,4325817255,2021-04-23T11:13:02.000Z,1385552288937349120,BREAKING Brunel University adopts International Definition of Antisemitism LONDON THIS IS GREAT! HERE I COME!,"['breaking', 'brunel', 'university', 'adopts', 'international', 'definition', 'of', 'antisemitism', 'london', 'this', 'is', 'great', 'here', 'i', 'come']","{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.7974}",0.7974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
